name,comment,sentiment_type,polarity,subjectivity
Kunal Diwakar,Yess please start python detailed series class 11 maybe don have time start python course it would beneficial all us,Positive,0.4,0.75
Ayswarjya Sinha,Hi Shraddha Didi fist all thanks lot such wonderful explanation this language I a network engineer I trying learn python automate regular operations listing IP addresses etc ou please help,Positive,0.3,0.4442307692307692
Mood Changer Boys,Well Done team Apna College Your way teaching amazing,Positive,0.6000000000000001,0.9
Madhavi Ch,Please a video Oops concepts data structures python that many students get benefited,Positive,0.5,0.5
Manorma kumari,Way teaching really l love most dikeep make video machine learning topic,Positive,0.5,0.55
Devansh Singh,2053 It said we convert string boolean But boolean contain trye false does work,Neutral,-0.4000000000000001,0.6
ShivtechViral,Absolutely loving way creativity teaching keep doin didi,Positive,0.6,0.95
SANKET,Aman bhaiya Shraddha didi TY much this revision course Aapne less time saare concepts kaafi clearly btaye It request the team pls start a course how prepare interview rounds,Positive,0.04444444444444445,0.21666666666666665
Varun,Best lecture basics python MOST IMP BASICSthank u didi,Positive,0.75,0.4
Mayank Patel,Amazing content Well explained,Positive,0.6000000000000001,0.9
FACTORIOUS WORLD,Pura lecture itna dhyaan se padha hai jitnna toh college jakar bhi nahi padta kyuki unko padhate hee nahi aata Thankyou Ho sake toh python AI KE LIYE BHI VIDEO BNA DENA PLZ,Positive,0.0,0.0
Buddha Bhai,Continue python series beginner advanced level cover everything please,Positive,0.4,0.6
ShahSawar Afridi,very amazing python learning video Maam Plz Upload Complete Python playlist Zero GUI Python will waiting this complete python course Apna collage channel basic full advance Regards Shah Sawar Afridi From Pakistan Peshawar,Positive,0.266,0.49499999999999994
The Animation World,Actually I hate coding after seeing video literally I loved way teachingthank,Positive,-0.050000000000000044,0.8500000000000001
Chitra Deka,please continue python series iam student class 11 greately need,Positive,0.0,0.0
Just Moved On,Thank so much starting amazing series python I waiting this course a long time,Positive,0.18333333333333335,0.4666666666666666
Gamers Forever,Learnt content this video some video 7 hours This video amazing,Positive,0.6000000000000001,0.9
Sanjay singh,One the best I learned python Thanks,Positive,0.6,0.25
Vedansh Chugh,please continue python series need videos Artificial Intelligence machine learning,Positive,-0.6,1.0
ILM,amazing teaching skills God bless,Positive,0.6000000000000001,0.9
20_A_Prathmesh Naik,The video very helpful quick revision python Can please make similar video DSA using python Itll very useful THANK YOU,Positive,0.23083333333333333,0.30000000000000004
CpWith Dev,Thanks lot didi teaching us python a convenient way,Positive,0.2,0.2
Laxmishankar Shukla,one thing please continue series begineer Advanced,Positive,0.4,0.6
It's my channel,Thank soo much sister I enjoyed lot learning python this channel,Positive,0.35,0.44999999999999996
Gouse,Continue series make projects will help our resume,Positive,0.0,0.0
Helix Dynamics,Plz make complete placement course using Python Python the future understanding dsa it would beneficial,Positive,0.05,0.2625
Hasnain MaliCk,Your teaching style quite easy comparison other tutorials I appreciate effort,Positive,0.15416666666666667,0.6041666666666667
